geography,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes,population,total_crashes_per_100k,fatal_crashes_per_100k,injury_or_fatal_crashes_per_100k
Stamford,2025,Cyclist/vehicle,20,0,18,135470,14.763416254521298,0,13.287074629069167
Stamford,2025,Pedestrian/vehicle,102,1,100,135470,75.29342289805861,0.7381708127260649,73.81708127260649
Stamford,2025,Vehicle/vehicle,3792,0,731,135470,2799.143721857238,0,539.6028641027534
Waterbury,2015,Cyclist/vehicle,16,1,10,114403,13.985647229530695,0.8741029518456684,8.741029518456685
Waterbury,2015,Pedestrian/vehicle,98,3,89,114403,85.66208928087549,2.622308855537005,77.79516271426448
Waterbury,2015,Vehicle/vehicle,5067,12,1250,114403,4429.079657002002,10.48923542214802,1092.6286898070855
Waterbury,2016,Cyclist/vehicle,21,0,19,114403,18.356161988759037,0,16.6079560850677
Waterbury,2016,Pedestrian/vehicle,91,3,80,114403,79.54336861795584,2.622308855537005,69.92823614765348
Waterbury,2016,Vehicle/vehicle,5552,9,1428,114403,4853.01958864715,7.866926566611015,1248.2190152356145
Waterbury,2017,Cyclist/vehicle,14,0,10,114403,12.237441325839356,0,8.741029518456685
Waterbury,2017,Pedestrian/vehicle,119,6,104,114403,104.01825126963455,5.24461771107401,90.90670699194952
Waterbury,2017,Vehicle/vehicle,5928,10,1500,114403,5181.682298541123,8.741029518456685,1311.1544277685025
Waterbury,2018,Cyclist/vehicle,10,1,8,114403,8.741029518456685,0.8741029518456684,6.9928236147653475
Waterbury,2018,Pedestrian/vehicle,119,2,106,114403,104.01825126963455,1.7482059036913369,92.65491289564085
Waterbury,2018,Vehicle/vehicle,5999,6,1471,114403,5243.743608122164,5.24461771107401,1285.805442164978
Waterbury,2019,Cyclist/vehicle,19,0,15,114403,16.6079560850677,0,13.111544277685027
Waterbury,2019,Pedestrian/vehicle,132,4,120,114403,115.38158964362823,3.4964118073826738,104.89235422148022
Waterbury,2019,Vehicle/vehicle,5706,8,1409,114403,4987.631443231384,6.9928236147653475,1231.6110591505467
Waterbury,2020,Cyclist/vehicle,12,0,9,114403,10.48923542214802,0,7.866926566611015
Waterbury,2020,Pedestrian/vehicle,101,6,84,114403,88.2843981364125,5.24461771107401,73.42464795503615
Waterbury,2020,Vehicle/vehicle,4724,6,1273,114403,4129.262344518937,5.24461771107401,1112.733057699536
Waterbury,2021,Cyclist/vehicle,16,0,16,114403,13.985647229530695,0,13.985647229530695
Waterbury,2021,Pedestrian/vehicle,96,1,82,114403,83.91388337718416,0.8741029518456684,71.67644205134481
Waterbury,2021,Vehicle/vehicle,5179,6,1408,114403,4526.9791876087165,5.24461771107401,1230.7369561987011
Waterbury,2022,Cyclist/vehicle,9,1,6,114403,7.866926566611015,0.8741029518456684,5.24461771107401
Waterbury,2022,Pedestrian/vehicle,102,5,91,114403,89.15850108825816,4.370514759228342,79.54336861795584
Waterbury,2022,Vehicle/vehicle,4806,15,1342,114403,4200.938786570282,13.111544277685027,1173.046161376887
Waterbury,2023,Cyclist/vehicle,18,0,17,114403,15.73385313322203,0,14.859750181376363
Waterbury,2023,Pedestrian/vehicle,78,3,65,114403,68.18003024396214,2.622308855537005,56.816691869968444
Waterbury,2023,Vehicle/vehicle,4630,12,1211,114403,4047.0966670454445,10.48923542214802,1058.5386746851043
Waterbury,2024,Cyclist/vehicle,21,1,18,114403,18.356161988759037,0.8741029518456684,15.73385313322203
Waterbury,2024,Pedestrian/vehicle,114,5,99,114403,99.64773651040619,4.370514759228342,86.53619223272118
Waterbury,2024,Vehicle/vehicle,4401,10,1127,114403,3846.927091072787,8.741029518456685,985.1140267300683
Waterbury,2025,Cyclist/vehicle,15,0,12,114403,13.111544277685027,0,10.48923542214802
Waterbury,2025,Pedestrian/vehicle,86,1,76,114403,75.17285385872748,0.8741029518456684,66.4318243402708
Waterbury,2025,Vehicle/vehicle,4439,6,1068,114403,3880.1430032429216,5.24461771107401,933.5419525711739
