town,year,group,deaths
Ledyard,2020,Driver/Passenger,2
Ledyard,2021,Driver/Passenger,2
Ledyard,2022,Driver/Passenger,2
Ledyard,2023,Driver/Passenger,1
Ledyard,2024,Driver/Passenger,3
Ledyard,2025,Driver/Passenger,1
Lisbon,2018,Driver/Passenger,1
Lisbon,2019,Driver/Passenger,1
Lisbon,2021,Driver/Passenger,1
Lisbon,2022,Driver/Passenger,1
Lisbon,2024,Driver/Passenger,3
Lisbon,2024,Pedestrian/Cyclist/Other,1
Litchfield,2016,Driver/Passenger,2
Litchfield,2019,Driver/Passenger,1
Litchfield,2020,Driver/Passenger,3
Litchfield,2021,Driver/Passenger,1
Litchfield,2023,Driver/Passenger,1
Litchfield,2024,Driver/Passenger,3
Litchfield,2025,Driver/Passenger,1
Litchfield,2025,Pedestrian/Cyclist/Other,1
Lyme,2017,Driver/Passenger,1
Lyme,2023,Driver/Passenger,1
Madison,2015,Driver/Passenger,1
Madison,2016,Driver/Passenger,2
Madison,2017,Driver/Passenger,2
Madison,2017,Pedestrian/Cyclist/Other,1
Madison,2018,Driver/Passenger,1
Madison,2018,Pedestrian/Cyclist/Other,1
Madison,2019,Driver/Passenger,1
Madison,2020,Driver/Passenger,1
Madison,2022,Driver/Passenger,1
Madison,2025,Driver/Passenger,3
Manchester,2015,Driver/Passenger,1
Manchester,2015,Pedestrian/Cyclist/Other,1
Manchester,2016,Driver/Passenger,3
Manchester,2016,Pedestrian/Cyclist/Other,1
Manchester,2017,Driver/Passenger,4
Manchester,2018,Driver/Passenger,1
Manchester,2019,Driver/Passenger,1
Manchester,2019,Pedestrian/Cyclist/Other,5
Manchester,2020,Pedestrian/Cyclist/Other,1
Manchester,2021,Driver/Passenger,6
Manchester,2022,Driver/Passenger,4
Manchester,2022,Pedestrian/Cyclist/Other,1
Manchester,2024,Driver/Passenger,7
Manchester,2025,Pedestrian/Cyclist/Other,1
Mansfield,2015,Driver/Passenger,4
Mansfield,2016,Pedestrian/Cyclist/Other,2
Mansfield,2017,Driver/Passenger,1
Mansfield,2018,Driver/Passenger,2
