town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
Enfield,2011,Cyclist/vehicle,8,0,8
Enfield,2011,Pedestrian/vehicle,10,0,10
Enfield,2011,Vehicle/vehicle,754,3,255
Enfield,2012,Cyclist/vehicle,11,0,7
Enfield,2012,Pedestrian/vehicle,6,0,6
Enfield,2012,Vehicle/vehicle,739,5,253
Enfield,2013,Cyclist/vehicle,8,1,7
Enfield,2013,Pedestrian/vehicle,7,0,7
Enfield,2013,Vehicle/vehicle,714,5,210
Enfield,2014,Cyclist/vehicle,7,0,4
Enfield,2014,Pedestrian/vehicle,6,1,6
Enfield,2014,Vehicle/vehicle,786,2,192
Essex,2010,Cyclist/vehicle,1,0,1
